time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
1.67,Terrain0,hrp2[RLEG_JOINT5],10,-0.181507734301,-0.0512007548137,-0.000668164220739,1.70156442715e-15,3.89326933668e-15,-1.0,88.1636142073,15.6316398758,331.4454025,-0.00583798493948,-0.000767621178637,-4.40929124156
1.67,Terrain0,hrp2[LLEG_JOINT5],11,0.23900625345,0.133992833359,-8.01714649848e-05,2.18274711793e-15,2.27471819388e-15,-1.0,-90.8619212034,-16.5232947953,234.768655475,1.2297728227e-05,-0.000434498910603,-6.21158890456
1.69,Terrain0,hrp2[RLEG_JOINT5],10,-0.180588100512,-0.0645706161193,-0.000562603130488,-2.79514645681e-15,1.91217994134e-15,-1.0,86.5506711263,16.9130203415,327.230217023,-0.00304745827186,-0.00340835337796,-3.31901171863
1.69,Terrain0,hrp2[LLEG_JOINT5],11,0.259410936848,0.129156050193,-7.18581053896e-05,-1.01462555547e-15,0.0,-1.0,-89.6124215195,-17.0359720727,231.689693166,-0.000106815207886,-0.000402076244029,-6.06034338654
1.71,Terrain0,hrp2[RLEG_JOINT5],11,-0.19964066713,-0.0687052891999,-0.000503117586093,-1.30789612742e-14,-1.16842529184e-15,-1.0,119.823072247,60.6982340127,394.21487064,0.0168173967468,-0.0199998906311,4.99769590559
1.71,Terrain0,hrp2[LLEG_JOINT5],10,0.251260923061,0.132872723841,-7.04086679218e-05,-5.49159186439e-16,0.0,-1.0,-84.748285108,-29.2317665885,207.052260749,0.000168352741061,-0.000771998503942,-4.53316116167
1.73,Terrain0,hrp2[RLEG_JOINT5],11,-0.219717825219,-0.0743102760454,-0.000399667289238,-3.7264585202e-16,4.39761111588e-16,-1.0,84.3984658961,17.1304934358,326.990308181,-0.00856090177136,-0.00210525303973,-3.04337001527
1.73,Terrain0,hrp2[LLEG_JOINT5],10,0.272266649601,0.147004024055,-7.85189245628e-05,-9.66042130648e-15,2.79323425738e-16,-1.0,-90.1894934469,-17.5133704821,233.434950491,-0.000304112206682,-0.000405450929719,-6.0170756609
1.75,Terrain0,hrp2[RLEG_JOINT5],11,-0.218788365807,-0.0656747643542,-0.000329865021569,7.94521847777e-15,-7.71528048211e-16,-1.0,83.9246376548,17.7411207717,318.92929208,-0.00843093886094,-0.00199154766219,-3.49862721908
1.75,Terrain0,hrp2[LLEG_JOINT5],10,0.273698697723,0.127551729024,-5.95640966775e-05,-1.44262221613e-15,9.2071419027e-16,-1.0,-87.0043346491,-17.0359953378,228.349177054,1.43020738e-05,-0.000387816775163,-5.35286227439
1.77,Terrain0,hrp2[RLEG_JOINT5],11,-0.239188286248,-0.0746874580844,-0.000284539364442,1.53483674969e-15,1.23020170806e-15,-1.0,92.4959205314,18.3584517609,333.358673478,-0.00877392916379,-0.0046361289311,-3.7462491502
